Chartmetric ID,Artista,País,Región,Continente,Pronombres,Solista/Grupo,Géneros,Puntuación en Chartmetric,Clasificación en Chartmetric,Rango de Engagement,Clasificación por base de fans,Etapa de la carrera,Momentum Reciente,Seguidores en TikTok,Me gusta en TikTok,Tasa de Participación en TikTok,Publicaciones de TikTok,Vistas en TikTok,Conteo de Shazam,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify,Suscriptores al canal de YouTube,Vistas del canal de YouTube,Engagement en YouTube,Conteo de playlists en YouTube,Fans en Deezer,Conteo de playlists en Deezer,Alcance de playlists en Deezer,Seguidores en SoundCloud,Streams en SoundCloud,Conteo de playlists en iTunes,Conteo de playlists en Amazon,Seguidores en Instagram,Engagement en Instagram,Apariciones en radio,Seguidores de Facebook,Visualizaciones en Wikipedia,Songkick Fans,Visitas a la página de Genius,Enlace de Spotify,Primera fecha de lanzamiento,Última fecha de lanzamiento
1375747,Fran Laoren,España,Southern Europe,Europe,He/Him,Artistas solistas,"Hip-Hop/Rap, Pop, Electronic",612,120223.0,116644.0,124815.0,Developing,Steady,-1.0,-1.0,-1.0,142.0,122853.0,18679.0,16653.0,64012.0,0.260154,33.0,558089.0,9761.0,,,-1.0,2.0,135.0,1.0,23.0,561.0,,6.0,,17522.0,6.0904,59.0,-1.0,,2226.0,-1.0,https://open.spotify.com/artist/2g1W9bFVmdIyxvktrdDiO4,"Jul 7, 2017","May 17, 2024"
492157,Ellegas,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, R&B/Soul, Latin",470,145625.0,166288.0,103329.0,Developing,Steady,-1.0,-1.0,-1.0,54.0,102629.0,27298.0,14605.0,60955.0,0.239603,30.0,1437187.0,6830.0,,,-1.0,,586.0,1.0,10984.0,,,5.0,1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,https://open.spotify.com/artist/4xD2oueqRvCDui9NWjdPQu,"Apr 5, 2017","Feb 26, 2021"
3557527,OldPurp,España,Southern Europe,Europe,He/Him,Desconocido,Hip-Hop/Rap,545,131107.0,136353.0,109260.0,Developing,Growth,-1.0,-1.0,-1.0,431.0,1421702.0,27328.0,4874.0,58825.0,0.082856,35.0,804539.0,13763.0,,,-1.0,5.0,13.0,3.0,1214.0,,,4.0,,-1.0,-1.0,3.0,-1.0,,,5920.0,https://open.spotify.com/artist/1h0hHYHR3rv8Ol5yudY5Vi,"Feb 14, 2020","May 19, 2024"
1708668,DAPS,España,Southern Europe,Europe,He/Him,Artistas solistas,Hip-Hop/Rap,1048,80877.0,72517.0,123409.0,Developing,Growth,112100.0,3100000.0,16.5897,2538.0,10816089.0,27011.0,11060.0,56327.0,0.196353,31.0,550429.0,8323.0,27600.0,4782349.0,0.8073,,190.0,1.0,2111.0,,,2.0,1.0,10351.0,14.8305,19.0,-1.0,,,28584.0,https://open.spotify.com/artist/4p8mOMhgdi8At62UqfdNhI,"Jul 15, 2011","May 2, 2024"
847040,Ly Raine,España,Southern Europe,Europe,He/Him,Desconocido,"Latin Hip-Hop/Rap, Latin Pop, Latin",247,230804.0,219958.0,218840.0,Developing,Steady,391.0,1802.0,9.1837,303.0,333699.0,109493.0,8293.0,56215.0,0.147523,28.0,395272.0,4107.0,21700.0,2236055.0,-1.0,3.0,269.0,9.0,2900.0,143.0,,3.0,,17060.0,2.0664,8.0,-1.0,,,13970.0,https://open.spotify.com/artist/0WreN2dp4yFtNzyIb2SyW6,"Sep 1, 2017","Feb 29, 2024"
4109506,Retro 1312,España,Southern Europe,Europe,He/Him,Desconocido,"Latin Hip-Hop/Rap, Latin",455,148789.0,133698.0,200197.0,Developing,Growth,-1.0,-1.0,-1.0,705.0,1641558.0,21010.0,18778.0,49711.0,0.377743,38.0,143001.0,5875.0,,,-1.0,,187.0,,,,,,,-1.0,-1.0,3.0,-1.0,,,-1.0,https://open.spotify.com/artist/5AkPwY7c9drzlSBxJDvuZC,"Jul 17, 2020","May 23, 2024"
722388,Papi Trujillo,España,Southern Europe,Europe,He/Him,Grupo,"Latin Hip-Hop/Rap, Latin",668,112821.0,113516.0,105133.0,Developing,Growth,-1.0,-1.0,-1.0,256.0,237326.0,26975.0,41916.0,48179.0,0.870006,33.0,1126965.0,13531.0,11500.0,6023431.0,-1.0,1.0,379.0,4.0,2153.0,604.0,59563.0,5.0,,62662.0,1.1676,26.0,5965.0,,,-1.0,"https://open.spotify.com/artist/6xfmxV0ufvR2JaThswnTh3, https://open.spotify.com/artist/7dG3aAHAFVHMyQo9meGLwb","Sep 2, 2016","May 10, 2024"
762970,Dafresito,España,Southern Europe,Europe,He/Him,Desconocido,"Rock, Hip-Hop/Rap, Punk",535,132960.0,122019.0,164472.0,Developing,Growth,-1.0,-1.0,-1.0,43.0,39837.0,3217.0,6767.0,44001.0,0.153792,29.0,462719.0,5037.0,,,-1.0,,52.0,,,,,1.0,1.0,-1.0,-1.0,1.0,-1.0,,,6291.0,https://open.spotify.com/artist/6wvnfHL3AZG64t14KbNrhG,"Oct 13, 2017","Apr 26, 2024"
3843134,SAM DAVIES,España,Southern Europe,Europe,He/Him,Artistas solistas,Hip-Hop/Rap,369,174000.0,161509.0,198413.0,Developing,Steady,-1.0,-1.0,-1.0,138.0,592335.0,9713.0,7993.0,43188.0,0.185075,29.0,276372.0,7899.0,8990.0,3040019.0,18.6986,1.0,,,,,,,1.0,10820.0,20.6245,2.0,-1.0,,,-1.0,https://open.spotify.com/artist/5IwsimGimVvw3Xb1YKGs0r,"Dec 21, 2018","Oct 19, 2023"
916403,Trapani,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, Latin",254,226946.0,220073.0,205279.0,Developing,Growth,-1.0,-1.0,-1.0,59.0,39415.0,10253.0,9640.0,42389.0,0.227417,29.0,100149.0,2706.0,1460.0,783132.0,4.2177,,73.0,1.0,202.0,,,,,-1.0,-1.0,35.0,-1.0,,,-1.0,https://open.spotify.com/artist/3bwdyecozAITl0gCVG3dpD,"Jan 1, 2009","Mar 14, 2024"
