Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Alcance Spotify / Relación Seguidores,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
423152,Slava Grigoryan,España,He/Him,Artistas solistas,Hush Foundation,"Instrumental, Classical, Jazz",Developing,Growth,3702,52131,0.071013,,31,635777,2350
4087872,Yosu Álvarez,España,,,Andrius & Rospi Digital.,"Flamenco, Latin",Developing,Steady,1574,227691,0.006913,,42,391613,811
433365,Ruth Calixta,España,,,Unknown Association,"Electronic, House, Dance",Developing,Growth,,,,,,131441,687
506017,LOS SANTOS,España,,,Rockin'rollin' Products,"Latin Hip-Hop/Rap, Latin Rock, Latin, Alternative Rock",Developing,Explosive Growth,39347,20728,1.898254,,21,330845,4268
879468,Charlie Hijos Bastardos,España,,,Charlie Hijos Bastardos,Hip-Hop/Rap,Developing,Growth,41548,102707,0.404529,,39,396045,9070
3677217,Oscar Barrul,España,He/Him,Artistas solistas,"Oscar Barrul, La Pureza Records","Latin Pop, Flamenco, Latin Hip-Hop/Rap, Latin",Developing,Steady,4984,138882,0.035887,,34,509503,3128
429394,Juaninacka,España,,,Juaninacka,"Latin Hip-Hop/Rap, Latin",Developing,Growth,79276,169887,0.46664,,40,992520,9950
548019,Señor Trepador,España,They/Them,Grupo,Unknown Association,"Latin Rock, Latin",Developing,Steady,11588,48858,0.237177,,25,468929,3913
420588,Luisaker,España,He/Him,Artistas solistas,Luisaker,Hip-Hop/Rap,Developing,Growth,62191,102054,0.609393,,38,891266,13895
3540036,A. Eskol,España,He/Him,Artistas solistas,Unknown Association,"R&B/Soul, Hip-Hop/Rap, Alternative",Developing,Steady,,,,,,9,4
719523,Millow,España,They/Them,Grupo,UMG (Virgin Music),"Flamenco, Latin Hip-Hop/Rap, R&B/Soul, Latin",Developing,Steady,6393,283009,0.022589,,41,1359989,5069
581314,Arkania,España,,,Arkania,"Rock, Metal",Developing,Growth,25024,51421,0.486649,,28,99387,833
258224,James Lover,España,,,James Lover,"R&B/Soul, Latin Hip-Hop/Rap, Reggae, Latin",Developing,Growth,1334,2012,0.663022,,5,35414,781
3874713,Jhaylar,España,He/Him,Artistas solistas,Kilato Music Records,"Flamenco, Afrobeat, Latin",Developing,Steady,5180,107257,0.048295,,35,398170,4044
738555,Gabriel De La Rosa,España,,,Unknown Association,"Pop, Rock, Alternative",Developing,Steady,413,62182,0.006642,,30,1128772,1617
1341588,Karavana,España,,,"BMG, Vanana Records","Alternative, Rock, Pop",Developing,Growth,21070,130737,0.161163,,39,588213,9400
403324,Miguel Morant,España,,,Atresmúsica,"Soundtracks, Children's Music, Pop",Developing,Growth,1273,154648,0.008232,,34,829961,3694
434830,Orquesta Mondragon,España,,,Buho Man.,"Latin Pop, Latin Rock, Latin",Developing,Growth,72107,124377,0.579745,,33,1610791,6423
1549291,Bores D,España,,,Cycling Records,"Latin Hip-Hop/Rap, Latin",Developing,Growth,20494,248246,0.082555,,41,368327,10764
3430812,Califato ¾,España,They/Them,Grupo,Califato 3/4,"Electronic, Alternative, Worldbeat",Developing,Steady,58174,138649,0.419577,,39,381549,10573
501659,I-Ace,España,,,Unknown Association,Hip-Hop/Rap,,,,,,,,599580,11080
291597,Vega,España,She/Her,Artistas solistas,La Madriguera Records,"Latin Pop, Latin",Developing,Steady,29808,54456,0.547378,,30,948851,3952
4190493,llvna,España,,,"Llvna, llvna","Latin Pop, Latin",Developing,Growth,6309,155553,0.040559,,40,203155,4992
170892,The Refrescos,España,They/Them,Grupo,Unknown Association,"Latin Pop, Latin Rock, Alternative, Latin",Developing,Growth,12415,146385,0.084811,,32,1417882,7763
3983107,Ogcale,España,,,"Distrokid, OGCALE","Latin Hip-Hop/Rap, Electronic, Dubstep, Latin",Developing,Explosive Growth,16334,140233,0.116478,,43,95327,5339
1141380,Salcedo Leyry,España,,,"La Pureza Records, 777","Latin Hip-Hop/Rap, Latin Pop, Latin",Developing,Decline,3104,87182,0.035604,,32,1429974,10409
286450,Dany Bpm,España,He/Him,Artistas solistas,"Addicting Records, RNC Music","Electronic, Techno, Dance",Developing,Steady,9558,202655,0.047164,,38,1120270,8845
1333461,Beatmad,España,He/Him,Artistas solistas,"In My Opinion, Hitkend Records","Dance, Electronic, House",Developing,Growth,624,273094,0.002285,,37,1847289,870
4484388,Luani,España,,,Blanco y Negro Urban,"Hip-Hop/Rap, Rock, Alternative",Developing,Growth,25263,211585,0.119399,,43,500183,8372
283221,Takers,España,,,Unknown Association,"Latin Hip-Hop/Rap, Latin Dance, R&B/Soul, Latin",Developing,Growth,36181,51624,0.700856,,29,352975,5456
64455,Andres Campo,España,He/Him,Artistas solistas,Union Three,"Techno, House, Dance",Developing,Steady,33586,180623,0.185945,,36,1090387,11132
424637,Cesk Freixas,España,,,U98 Music,"Pop, Rock, Singer/Songwriter",Developing,Growth,21352,115961,0.184131,,35,585643,6453
