Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
314379,Maria Dolores Pradera,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Flamenco, Latin Folk, Latin",Mid-Level,Growth,229073.0,514150.0,0.445537,46.0,2874051.0,11302.0
215092,Najwa,España,She/Her,Artistas solistas,Samba Nimri,"Latin Pop, Electronic, Latin Rock, Latin",Mid-Level,Decline,102316.0,503401.0,0.203249,43.0,7174904.0,28859.0
1661725,Lorena Santos,España,She/Her,Artistas solistas,UMS ENTERTAINMENT,"Flamenco, Latin Pop, Latin",Mid-Level,Steady,55359.0,497545.0,0.111264,48.0,1606921.0,10804.0
39200,La Bien Querida,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Alternative, Latin, Alternative Rock",Mid-Level,Growth,115458.0,454026.0,0.254298,46.0,5764455.0,33152.0
499720,Shinova,España,She/Her,Artistas solistas,WMG (Warner Music Spain),"Latin Rock, Latin Pop, Latin",Developing,Growth,70545.0,449097.0,0.157082,52.0,3114073.0,11675.0
821591,Albany,España,She/Her,Artistas solistas,Ladradora,"Latin Hip-Hop/Rap, Latin Pop, Electronic, Latin",Mid-Level,Growth,98063.0,431825.0,0.22709,45.0,2655132.0,31040.0
114928,Sarayma,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mid-Level,Steady,65942.0,416036.0,0.158501,45.0,1090747.0,10179.0
134835,Beatriz Luengo,España,She/Her,Artistas solistas,SME (Sony Music Latin),"Latin Pop, Latin",Mid-Level,Steady,180305.0,413204.0,0.436358,44.0,6379373.0,30420.0
437188,Bongo Botrako,España,She/Her,Artistas solistas,Unknown Association,"Reggae, Latin",Developing,Growth,66197.0,411338.0,0.160931,40.0,3340537.0,19350.0
776407,Ana Guerra,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mid-Level,Steady,515759.0,408981.0,1.261083,41.0,5152770.0,21318.0
34363,Anni B Sweet,España,She/Her,Artistas solistas,Unknown Association,"Soundtracks, Pop, Rock",Developing,Growth,94890.0,406956.0,0.23317,43.0,4534032.0,23523.0
111837,Buika,España,She/Her,Artistas solistas,Afroterraneo Music,"Latin Dance, Flamenco, Latin Pop, Latin",Mid-Level,Steady,317430.0,404783.0,0.784198,47.0,5034864.0,39735.0
400261,Sílvia Pérez Cruz,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mid-Level,Growth,176277.0,403889.0,0.436449,46.0,2423147.0,24093.0
95709,Paloma San Basilio,España,She/Her,Artistas solistas,WMG,"Latin Pop, Latin",Mid-Level,Growth,798191.0,395513.0,2.018116,43.0,5927293.0,13010.0
88758,Lolita,España,She/Her,Artistas solistas,Boomy Corporation,"Latin Pop, Latin",Mid-Level,Steady,26515.0,393560.0,0.067372,41.0,3238681.0,17254.0
1333916,Alba Reche,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mid-Level,Steady,103382.0,382651.0,0.270173,44.0,3606476.0,24328.0
18646,Mari Trini,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Mid-Level,Growth,226444.0,365492.0,0.619559,42.0,1999070.0,8621.0
